"site","S","ELE","MAT","TSE","MAP","PSE","NPP","SOC","AET","PET","EHM","TRI","WDF"
"Morni",60,400,23.9275511527548,646.236730458785,1231.44897460938,110.697959121393,1634.92245047433,320.301662707838,902.489361702128,1788.85106382979,2678.10638297872,4.50132978723404,886.36170212766
"Morni",84,500,23.506818150029,634.804546009411,1341.03333629261,111.783333518288,1727.05152199485,386.432220039293,941.015151515152,1772.57894736842,2793.28571428571,9.53148496240602,831.56379585327
"Morni",117,600,22.9588234003852,625.041176291073,1417.62941248277,111.644117691938,1787.99558033663,426.006841505131,964.75,1757.42647058824,2921.97058823529,14.7325367647059,792.676470588235
"Morni",181,700,22.2973683340508,616.952632435581,1470.50526615611,111.715789794922,1828.21228241502,447.127105666156,979.052631578947,1738.25,2989.42857142857,19.5613839285714,759.197368421053
"Morni",206,800,21.70789467661,610.344737805818,1525.81052760074,111.705263438978,1869.06579268606,470.351888667992,986.025,1718.8,2656.65,23.421875,732.775
"Morni",226,900,21.0875000953674,601.903131484985,1600.15000915527,111.550000190735,1922.078125,479.18766066838,987.878787878788,1691.59375,2740.75,24.091796875,703.714962121212
"Morni",198,1000,20.4428572427659,597.547624860491,1627.80238560268,111.380952017648,1940.81667364211,493.272727272727,976.756097560976,1678.39024390244,3160.31707317073,25.782012195122,701.634146341464
"Morni",192,1100,19.784285736084,593.468570382254,1650.92857840402,111.308571733747,1956.58857421875,515.25187032419,964.323529411765,1666.61764705882,3004.85294117647,23.8419117647059,702.294117647059
"Morni",191,1200,19.0863640525124,589.872736150568,1669.22728382457,110.454546148127,1968.72727272727,542.397590361446,948.333333333333,1651.75,2960.75,28.1302083333333,703.416666666667
"Morni",178,1300,18.3666664759318,587.033355712891,1673.88334147135,110,1972.21667480469,556.896551724138,929.833333333333,1639.66666666667,2472.33333333333,28.3645833333333,709.833333333333
"Chail",124,1000,20.1499996185303,564.900024414062,1767.30004882812,98.5,2031.90002441406,513.5,1007,1644,1700,17.625,637
