"Site","Model","logLik","AICc","daicc","dev.adj"
"Morni","S ~ PET + I(PET^2)",-38.3030510802632,86.6061021605265,-0.0105565836878014,93.9687709196607
"Morni","S ~ AET + WDF",-38.3083293721071,86.6166587442143,0,93.9608133632156
"Morni","S ~ ELE + MAP + TSE",-35.8180663444631,87.6361326889262,1.01947394471196,97.2581627571848
"Morni","S ~ MAP + I(PET^2)",-38.9804590483567,87.9609180967135,1.34425935249918,92.9475101970995
"Morni","S ~ MAP + I(PET - PET^2) + TRI",-36.6697158731405,89.339431746281,2.72277300206669,95.7174258529989
"Morni","S ~ MAP + I(PET - PET^2)",-39.7316271118682,89.4632542237364,2.84659547952215,91.8150487035245
"Morni","S ~ WDF + MAT + WDF:MAT",-37.0420589820198,90.0841179640397,3.46745921982539,95.0438121779457
"Morni","S ~ MAP + PET + I(PET^2)",-38.0803711632707,92.1607423265414,5.54408358232716,93.1653799803686
"Morni","S ~ WDF + PET + I(PET^2)",-38.1854658752945,92.370931750589,5.75427300637472,92.9752509474771
"Morni","S ~ WDF",-45.6192840071123,96.9528537285103,10.3361949842961,85.3761255009652
"Morni","S ~ NPP + I(NPP^2)",-43.7277740375775,97.455548075155,10.8388893309407,85.7904548265188
"Morni","S ~ ELE + MAP + PET",-43.6521393907508,103.304278781502,16.6876200372872,83.0853780070438
"Morni","S ~ NPP",-60.1160501646148,125.946386043515,39.329727299301,66.6429814601419
"Morni","S ~ MAP",-62.7282898656416,131.170865445569,44.5542067013547,63.267369129997
"Morni","S ~ AET",-82.0007557778561,169.715797269998,83.0991385257836,38.3629265782679
"Morni","S ~ MAT",-90.2078392596818,186.129964233649,99.513305489435,27.757493935586
"Chail","S ~ PET + I(PET^2)",-44.1848704108167,97.3697408216334,-3.81967331462012,90.0421092720943
"Chail","S ~ MAP + I(PET^2)",-44.6021944349886,98.2043888699772,-2.9850252662763,88.0095048316452
"Chail","S ~ TRI",-47.9280404014601,101.189414136253,0,74.9428894708326
"Chail","S ~ WDF + PET + I(PET^2)",-43.9302486900834,101.574783094453,0.385368958199095,90.0368700717299
